Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
110;15;;1;;;1;
70;15;0,014575958251953125;0;0;0,1320209503173828;0;0
110;7;;1;;;1;
50;91;0,12938499450683594;0;3;0,5981206893920898;0;3
90;66;7,403784275054932;0;5;;1;
60;9;0,2734339237213135;0;0;1,7905349731445312;0;0
100;25;54,90552353858948;0;0;;1;
90;64;;1;;;1;
80;4;1,2500896453857422;0;0;11,292886734008789;0;0
120;45;;1;;;1;
120;77;;1;;;1;
70;51;1,4273934364318848;0;11;23,58253240585327;0;11
70;71;1,4570536613464355;0;12;16,70049524307251;0;12
70;48;0,5519294738769531;0;0;4,059576034545898;0;0
110;72;26,70619010925293;0;1;;1;
100;32;;1;;;1;
50;93;0,0773153305053711;0;0;0,3870961666107178;0;0
110;82;;1;;;1;
110;42;;1;;;1;
60;0;0,2679636478424072;0;0;1,231086254119873;0;0
120;49;;1;;;1;
70;94;0,014726877212524414;0;0;0,16167712211608887;0;0
60;79;1,3786137104034424;0;9;16,201915979385376;0;9
60;50;1,606102466583252;0;3;;1;
70;11;22,32966136932373;0;1;;1;
120;68;;1;;;1;
70;67;0,014822244644165039;0;0;0,16655778884887695;0;0
60;76;0,37213969230651855;0;7;2,929279327392578;0;7
70;93;0,530933141708374;0;0;2,667294502258301;0;0
60;7;0,34068822860717773;0;6;2,462070941925049;0;6
110;56;;1;;;1;
50;57;0,13179302215576172;0;0;0,6269938945770264;0;0
110;0;;1;;;1;
80;5;1,249638557434082;0;0;9,341147661209106;0;0
50;0;0,13228297233581543;0;0;0,5293717384338379;0;0
110;92;;1;;;1;
120;36;0,020863771438598633;0;0;0,5118978023529053;0;0
110;84;;1;;;1;
110;24;;1;;;1;
90;63;;1;;;1;
80;20;0,01562643051147461;0;0;0,19336605072021484;0;0
100;9;44,62586951255798;0;0;;1;
110;54;;1;;;1;
80;27;0,01707768440246582;0;0;0,21664214134216309;0;0
60;55;0,014790773391723633;0;0;0,1087346076965332;0;0
80;56;27,820188999176025;0;3;;1;
70;98;0,5596306324005127;0;0;4,499746799468994;0;0
120;60;;1;;;1;
110;39;;1;;;1;
110;91;;1;;;1;
50;6;0,22777438163757324;0;2;1,5869641304016113;0;2
90;27;5,944300651550293;0;0;50,42948579788208;0;0
70;32;9,450260877609253;0;7;;1;
50;74;0,2796041965484619;0;8;3,0439934730529785;0;8
50;14;0,12468242645263672;0;6;0,9673190116882324;0;6
80;66;;1;;;1;
120;57;;1;;;1;
100;1;;1;;;1;
120;29;;1;;;1;
70;40;0,5553579330444336;0;0;3,769942283630371;0;0
90;54;;1;;;1;
90;98;;1;;;1;
110;36;;1;;;1;
50;68;0,12616372108459473;0;1;0,830000638961792;0;1
50;11;0,07868385314941406;0;0;0,4099435806274414;0;0
90;51;6,709094047546387;0;0;;1;
100;58;;1;;;1;
80;48;1,2521908283233643;0;0;10,66632080078125;0;0
80;96;;1;;;1;
120;53;;1;;;1;
100;79;;1;;;1;
110;30;;1;;;1;
50;88;0,108978271484375;0;3;0,6466796398162842;0;3
50;77;0,11374187469482422;0;3;0,5301179885864258;0;3
100;20;55,16686511039734;0;0;;1;
80;95;3,065490245819092;0;8;45,39921307563782;0;8
100;86;29,63394594192505;0;9;;1;
80;37;1,2497985363006592;0;0;10,47152590751648;0;0
120;82;;1;;;1;
90;79;;1;;;1;
110;19;;1;;;1;
50;17;0,15704751014709473;0;7;0,7405014038085938;0;7
100;14;;1;;;1;
60;11;0,27925753593444824;0;0;1,4387800693511963;0;0
100;50;;1;;;1;
110;34;;1;;;1;
120;97;;1;;;1;
90;6;;1;;;1;
110;13;;1;;;1;
60;19;0,26494741439819336;0;0;1,7009990215301514;0;0
50;38;0,16580486297607422;0;3;0,9742217063903809;0;3
90;83;7,47681736946106;0;0;;1;
50;53;0,3286757469177246;0;4;3,4405252933502197;0;4
70;95;9,585414409637451;0;2;;1;
50;92;0,12745189666748047;0;3;0,824312686920166;0;3
50;42;0,1563122272491455;0;8;1,0766193866729736;0;8
70;88;1,630185842514038;0;8;;1;
120;19;;1;;;1;
50;23;0,11339640617370605;0;0;0,2998182773590088;0;0
50;54;0,09472799301147461;0;0;0,4250917434692383;0;0
50;30;0,13443779945373535;0;0;0,4087495803833008;0;0
80;73;14,27153468132019;0;6;;1;
50;21;0,09711432456970215;0;3;0,5776364803314209;0;3
80;40;24,813441514968872;0;2;;1;
120;89;;1;;;1;
70;22;0,5525622367858887;0;0;3,8093936443328857;0;0
50;67;0,23263216018676758;0;2;1,34425950050354;0;2
60;38;0,2618227005004883;0;0;1,4513792991638184;0;0
60;67;2,9437952041625977;0;3;33,05724024772644;0;3
100;10;33,54894709587097;0;0;;1;
70;24;0,014476776123046875;0;0;0,15822768211364746;0;0
120;83;;1;;;1;
60;58;2,4830057621002197;0;5;34,02485918998718;0;5
50;76;0,10087466239929199;0;5;0,6787424087524414;0;5
70;52;0,5583841800689697;0;0;3,3116486072540283;0;0
60;28;0,1469578742980957;0;1;0,8077433109283447;0;1
120;27;;1;;;1;
60;78;0,2683694362640381;0;0;1,404092788696289;0;0
50;47;0,1293325424194336;0;0;0,38596606254577637;0;0
50;62;0,09745502471923828;0;0;0,4356966018676758;0;0
110;69;;1;;;1;
120;30;;1;;;1;
70;1;13,261574029922485;0;2;;1;
50;44;0,13222479820251465;0;0;0,5494654178619385;0;0
50;28;0,07146716117858887;0;1;0,26548171043395996;0;1
