Literals;Index;ASPSimpleTime;ASPSimpleTimeout;ASPSimpleStatus;ASPGeneralTime;ASPGeneralTimeout;ASPGeneralStatus
90;0;0,017247915267944336;0;0;0,20190882682800293;0;0
70;77;0,5695924758911133;0;0;3,1980910301208496;0;0
120;76;;1;;;1;
50;94;0,04495096206665039;0;1;0,23142266273498535;0;1
50;68;0,12270617485046387;0;0;0,279742956161499;0;0
50;67;0,30237317085266113;0;6;2,0436556339263916;0;6
100;16;40,38106679916382;0;0;;1;
70;58;0,2816324234008789;0;1;1,4774253368377686;0;1
100;28;;1;;;1;
110;50;;1;;;1;
70;44;0,5625259876251221;0;0;2,8677663803100586;0;0
60;15;0,26305508613586426;0;0;1,062328577041626;0;0
100;29;;1;;;1;
120;12;;1;;;1;
100;65;9,05137586593628;0;1;;1;
100;4;7,482239484786987;0;1;;1;
50;8;0,06735563278198242;0;1;0,21596765518188477;0;1
110;61;57,463863372802734;0;0;;1;
80;88;0,6382839679718018;0;1;4,516098499298096;0;1
80;1;;1;;;1;
70;29;0,01448202133178711;0;0;0,11945438385009766;0;0
100;98;;1;;;1;
80;82;;1;;;1;
90;68;;1;;;1;
110;12;;1;;;1;
120;54;;1;;;1;
80;85;1,2764463424682617;0;0;7,609262228012085;0;0
100;82;34,08616518974304;0;0;;1;
110;99;20,574799060821533;0;1;;1;
80;16;1,3321874141693115;0;0;13,539718866348267;0;0
80;75;;1;;;1;
120;31;;1;;;1;
50;49;0,11534476280212402;0;0;0,578911542892456;0;0
60;7;0,14673805236816406;0;1;0,9821200370788574;0;1
120;19;;1;;;1;
90;65;45,37217426300049;0;4;;1;
100;81;;1;;;1;
60;59;3,2918789386749268;0;1;47,79083013534546;0;1
60;21;2,6998629570007324;0;1;27,293590307235718;0;1
110;86;;1;;;1;
80;35;;1;;;1;
120;6;0,02101922035217285;0;0;0,5032172203063965;0;0
50;54;0,013791084289550781;0;0;0,053391456604003906;0;0
100;32;;1;;;1;
50;65;0,21016573905944824;0;2;1,5418310165405273;0;2
70;74;0,5576400756835938;0;0;3,032244920730591;0;0
50;61;0,09631776809692383;0;0;0,3751485347747803;0;0
60;72;7,6240363121032715;0;1;;1;
80;68;1,3081614971160889;0;0;9,448537588119507;0;0
80;69;1,2993173599243164;0;0;8,852882146835327;0;0
80;55;1,3267297744750977;0;0;10,982847213745117;0;0
120;65;;1;;;1;
90;63;3,403888463973999;0;0;17,748453855514526;0;0
110;9;;1;;;1;
100;68;0,018064498901367188;0;0;0,31786322593688965;0;0
50;44;0,04646015167236328;0;1;0,22168517112731934;0;1
120;84;0,019955873489379883;0;0;0,3608262538909912;0;0
60;84;0,2705502510070801;0;0;1,2415764331817627;0;0
120;40;;1;;;1;
60;1;0,2707087993621826;0;0;1,4094326496124268;0;0
90;87;3,6019132137298584;0;0;45,83619403839111;0;0
80;15;;1;;;1;
50;98;0,45351719856262207;0;1;2,9028775691986084;0;1
70;53;0,5507645606994629;0;0;2,6043200492858887;0;0
80;32;41,083038568496704;0;1;44,68998646736145;0;1
90;74;;1;;;1;
100;51;;1;;;1;
120;29;0,019694805145263672;0;0;0,37073659896850586;0;0
100;1;0,018218040466308594;0;0;0,2771906852722168;0;0
60;39;0,2788817882537842;0;0;2,2871997356414795;0;0
120;97;;1;;;1;
100;52;12,701361417770386;0;2;;1;
70;2;22,354055643081665;0;1;;1;
60;10;5,608711242675781;0;1;57,80951738357544;0;1
80;6;0,016416072845458984;0;0;0,19983172416687012;0;0
120;75;;1;;;1;
90;38;;1;;;1;
100;54;22,381797075271606;0;3;;1;
70;76;0,5558004379272461;0;0;3,3335773944854736;0;0
70;84;0,9429905414581299;0;1;;1;
80;66;1,2955894470214844;0;0;8,022099018096924;0;0
50;29;0,0755760669708252;0;0;0,27556610107421875;0;0
110;42;14,992177724838257;0;3;;1;
80;50;1,3153681755065918;0;0;9,387084245681763;0;0
90;80;2,045288562774658;0;1;26,44402289390564;0;1
90;78;3,400679588317871;0;1;22,852941036224365;0;1
110;17;29,618165254592896;0;1;;1;
100;79;21,610342502593994;0;0;;1;
90;71;5,072846174240112;0;1;27,820002555847168;0;1
90;29;;1;;;1;
